epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2964.9,0.76187,0.60485,1.11604,0.71865,0.64328,0.70619,0.39864,1.41003,0.90047,1.51527,0.0001585,0.0001585,0.0001585
87,2992.47,0.76525,0.61489,1.11909,0.70922,0.66031,0.71032,0.40156,1.40364,0.88294,1.51229,0.0001486,0.0001486,0.0001486
88,3019.66,0.76451,0.61704,1.12308,0.76083,0.60514,0.69753,0.39979,1.40456,0.87458,1.51229,0.0001387,0.0001387,0.0001387
89,3047.48,0.75917,0.59877,1.12053,0.70412,0.68737,0.71054,0.39923,1.40713,0.86094,1.51472,0.0001288,0.0001288,0.0001288
90,3075.31,0.75575,0.5922,1.1123,0.75016,0.63494,0.71363,0.40512,1.40668,0.86499,1.51225,0.0001189,0.0001189,0.0001189
91,3103.78,0.75765,0.51663,1.118,0.72662,0.64956,0.72161,0.40587,1.40469,0.88146,1.51315,0.000109,0.000109,0.000109
92,3132,0.73977,0.49804,1.10309,0.75487,0.64247,0.72232,0.41325,1.40092,0.87869,1.51454,9.91e-05,9.91e-05,9.91e-05
93,3160.2,0.72757,0.48727,1.09818,0.79525,0.64038,0.71836,0.41327,1.39928,0.87732,1.51558,8.92e-05,8.92e-05,8.92e-05
94,3188.17,0.71721,0.47025,1.08788,0.75694,0.68237,0.73106,0.41484,1.39899,0.8639,1.51552,7.93e-05,7.93e-05,7.93e-05
95,3216.19,0.71008,0.47279,1.08558,0.78987,0.6387,0.7229,0.41302,1.4036,0.88378,1.52354,6.94e-05,6.94e-05,6.94e-05
96,3244.19,0.70666,0.46838,1.08482,0.78113,0.65821,0.73434,0.41432,1.40134,0.87766,1.52369,5.95e-05,5.95e-05,5.95e-05
97,3272.31,0.70202,0.46124,1.07878,0.7849,0.64032,0.72332,0.41461,1.39675,0.87272,1.5201,4.96e-05,4.96e-05,4.96e-05
98,3300.19,0.69307,0.46229,1.07849,0.74394,0.65036,0.73131,0.41652,1.39277,0.87131,1.51835,3.97e-05,3.97e-05,3.97e-05
99,3328.04,0.69294,0.4544,1.07162,0.7849,0.6195,0.72468,0.41552,1.39267,0.86635,1.51766,2.98e-05,2.98e-05,2.98e-05
100,3356.1,0.68723,0.45046,1.06886,0.75131,0.65635,0.72542,0.41746,1.39085,0.85868,1.51731,1.99e-05,1.99e-05,1.99e-05
