epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1635.79,1.12457,0.94385,1.35158,0.72641,0.68806,0.72668,0.39736,1.42478,0.89966,1.55216,0.00040707,0.00040707,0.00040707
66,1655.16,1.10915,0.92372,1.33911,0.76895,0.66262,0.70256,0.38767,1.4172,0.91405,1.5431,0.000396071,0.000396071,0.000396071
67,1674.39,1.10182,0.89518,1.32909,0.72672,0.6806,0.71481,0.39163,1.42961,0.88041,1.55788,0.000385073,0.000385073,0.000385073
68,1693.74,1.10005,0.89652,1.32593,0.75304,0.65743,0.70211,0.38232,1.41488,0.89683,1.54237,0.000374074,0.000374074,0.000374074
69,1713.03,1.09228,0.88466,1.31884,0.73544,0.64621,0.7037,0.39022,1.40823,0.87975,1.53008,0.000363075,0.000363075,0.000363075
70,1732.42,1.08643,0.88591,1.31685,0.75205,0.67737,0.71733,0.39545,1.41126,0.88674,1.54518,0.000352076,0.000352076,0.000352076
71,1751.64,1.0892,0.86588,1.31801,0.74964,0.63698,0.70167,0.3858,1.42517,0.8972,1.54546,0.000341077,0.000341077,0.000341077
72,1770.93,1.07094,0.86207,1.31253,0.75101,0.67034,0.70484,0.38622,1.41165,0.88352,1.54412,0.000330078,0.000330078,0.000330078
73,1790.32,1.06707,0.84788,1.29247,0.72694,0.66662,0.71918,0.39837,1.418,0.88315,1.55743,0.000319079,0.000319079,0.000319079
74,1809.7,1.04776,0.83132,1.28651,0.74576,0.6593,0.70651,0.39346,1.40739,0.86301,1.54767,0.00030808,0.00030808,0.00030808
75,1828.93,1.05271,0.84251,1.28674,0.74543,0.64261,0.6997,0.40278,1.39932,0.86052,1.53556,0.000297081,0.000297081,0.000297081
76,1848.19,1.05081,0.82916,1.29373,0.70323,0.70857,0.71937,0.39345,1.40801,0.86205,1.54371,0.000286083,0.000286083,0.000286083
77,1867.48,1.04419,0.82263,1.28274,0.73682,0.68049,0.71535,0.41082,1.39899,0.85565,1.53354,0.000275084,0.000275084,0.000275084
78,1886.77,1.03444,0.81959,1.276,0.78538,0.64186,0.72405,0.39964,1.38839,0.85457,1.52567,0.000264085,0.000264085,0.000264085
79,1906.1,1.0188,0.81335,1.27718,0.72005,0.68756,0.7111,0.40332,1.39883,0.8592,1.53304,0.000253086,0.000253086,0.000253086
80,1925.36,1.00827,0.79639,1.26958,0.74135,0.69779,0.73673,0.4079,1.38531,0.84259,1.53643,0.000242087,0.000242087,0.000242087
81,1944.5,1.01526,0.78292,1.267,0.7811,0.65987,0.72341,0.40471,1.38946,0.84955,1.53192,0.000231088,0.000231088,0.000231088
82,1963.76,1.00298,0.78675,1.26331,0.78841,0.67335,0.73999,0.41715,1.39062,0.83849,1.54295,0.000220089,0.000220089,0.000220089
83,1982.98,0.98627,0.76317,1.25382,0.76208,0.6492,0.71722,0.4035,1.39113,0.85052,1.54456,0.00020909,0.00020909,0.00020909
84,2002.21,1.00943,0.78028,1.259,0.73146,0.65963,0.71965,0.4036,1.39394,0.84315,1.54591,0.000198091,0.000198091,0.000198091
85,2021.41,0.9965,0.77113,1.25312,0.78737,0.64365,0.72884,0.40295,1.38516,0.83973,1.53248,0.000187092,0.000187092,0.000187092
